date,PM2.5,PM10,O3,NO2,SO2,CO,AQI
2020-01-01,153.0,65.0,5.0,25.0,4.0,15.0,203.0
2020-01-02,118.0,44.0,6.0,21.0,3.0,10.0,183.0
2020-01-03,59.0,44.0,6.0,21.0,3.0,12.0,153.0
2020-01-04,70.0,46.0,6.0,18.0,2.0,9.0,158.0
2020-01-05,66.0,47.0,7.0,17.0,2.0,9.0,156.0
2020-01-06,63.0,51.0,6.0,22.0,2.0,13.0,159.0
2020-01-07,84.0,48.0,6.0,18.0,3.0,12.0,166.0
2020-01-08,62.0,49.0,6.0,22.0,4.0,11.0,154.0
2020-01-09,70.0,41.0,6.0,15.0,3.0,8.0,158.0
2020-01-10,52.0,42.0,6.0,12.0,3.0,9.0,142.0
2020-01-11,57.0,38.0,7.0,13.0,4.0,8.0,152.0
2020-01-12,61.0,77.0,4.0,19.0,8.0,14.0,176.0
2020-01-13,149.0,90.0,5.0,28.0,8.0,18.0,218.0
2020-01-14,171.0,37.0,6.0,13.0,3.0,7.0,221.0
2020-01-15,54.0,41.0,6.0,15.0,6.0,12.0,147.0
2020-01-16,60.0,36.0,8.0,13.0,5.0,8.0,153.0
2020-01-17,62.0,49.0,8.0,12.0,3.0,10.0,154.0
2020-01-18,97.0,36.0,10.0,10.0,3.0,7.0,172.0
2020-01-19,66.0,46.0,12.0,13.0,3.0,11.0,156.0
2020-01-20,92.0,67.0,7.0,20.0,4.0,15.0,193.0
2020-01-21,140.0,56.0,9.0,15.0,3.0,14.0,195.0
2020-01-22,111.0,31.0,12.0,9.0,2.0,7.0,180.0
2020-01-23,53.0,23.0,11.0,6.0,2.0,5.0,144.0
2020-01-24,43.0,19.0,17.0,5.0,2.0,4.0,119.0
2020-01-25,35.0,15.0,18.0,9.0,2.0,5.0,99.0
2020-01-26,23.0,24.0,15.0,9.0,3.0,5.0,74.0
2020-01-27,36.0,36.0,14.0,9.0,3.0,5.0,102.0
2020-01-28,62.0,46.0,14.0,7.0,3.0,5.0,154.0
2020-01-29,86.0,56.0,13.0,16.0,3.0,8.0,167.0
2020-01-30,115.0,57.0,9.0,26.0,5.0,10.0,182.0
2020-01-31,109.0,70.0,10.0,20.0,4.0,9.0,179.0
2020-02-01,142.0,83.0,12.0,15.0,4.0,10.0,196.0
2020-02-02,171.0,60.0,14.0,10.0,3.0,13.0,221.0
2020-02-03,124.0,15.0,18.0,1.0,3.0,5.0,186.0
2020-02-04,29.0,24.0,19.0,1.0,4.0,9.0,96.0
2020-02-05,46.0,58.0,6.0,6.0,4.0,15.0,193.0
2020-02-06,107.0,57.0,2.0,6.0,3.0,15.0,193.0
2020-02-07,108.0,33.0,2.0,18.8,4.0,8.0,178.0
2020-02-08,58.0,15.0,5.0,18.8,3.0,5.0,152.0
2020-02-09,27.0,43.0,3.0,18.8,7.0,11.0,126.0
2020-02-10,77.0,52.0,8.0,18.8,5.0,11.0,162.0
2020-02-11,99.0,57.0,4.0,26.0,4.0,14.0,176.0
2020-02-12,108.0,42.0,8.0,21.0,3.0,15.0,193.0
2020-02-13,81.0,30.0,14.0,16.0,3.0,12.0,164.0
2020-02-14,51.0,40.0,15.0,18.0,3.0,12.0,143.0
2020-02-15,62.0,27.0,15.0,12.0,4.0,4.0,154.0
2020-02-16,36.0,40.0,13.0,17.0,6.0,6.0,102.0
2020-02-17,64.0,52.0,14.0,28.0,15.0,8.0,155.0
2020-02-18,84.0,63.0,7.0,33.0,18.0,10.0,166.0
2020-02-19,116.0,86.0,6.0,25.0,8.0,11.0,182.0
2020-02-20,160.0,98.0,6.0,26.0,5.0,12.0,210.0
2020-02-21,189.0,82.0,16.0,30.0,5.0,16.0,239.0
2020-02-22,168.0,71.0,13.0,32.0,5.0,14.0,218.0
2020-02-23,137.0,51.0,12.0,25.0,4.0,9.0,193.0
2020-02-24,90.0,47.0,7.0,20.0,4.0,9.0,169.0
2020-02-25,81.0,42.0,5.0,29.0,4.0,13.0,164.0
2020-02-26,65.0,41.0,7.0,24.0,4.0,10.0,156.0
2020-02-27,66.0,33.0,7.0,18.0,3.0,9.0,156.0
2020-02-28,48.0,34.0,11.0,16.0,3.0,7.0,132.0
2020-02-29,47.0,32.0,12.0,15.0,3.0,8.0,129.0
2020-03-01,51.0,28.0,11.0,14.0,3.0,9.0,139.0
2020-03-02,43.0,22.0,11.0,15.0,3.0,6.0,119.0
2020-03-03,34.0,23.0,28.0,17.0,4.0,6.0,97.0
2020-03-04,38.0,31.0,8.0,13.0,4.0,9.0,107.0
2020-03-05,51.0,61.0,10.0,22.0,6.0,12.0,143.0
2020-03-06,112.0,45.0,9.0,21.0,4.0,12.0,180.0
2020-03-07,72.0,45.0,17.0,18.0,3.0,9.0,160.0
2020-03-08,76.0,54.0,33.0,18.0,3.0,9.0,162.0
2020-03-09,100.0,45.0,17.0,17.0,4.0,7.0,174.0
2020-03-10,70.0,52.0,15.0,28.0,6.0,12.0,158.0
2020-03-11,83.0,40.0,13.0,21.0,4.0,13.0,165.0
2020-03-12,71.0,40.0,14.0,14.0,4.0,11.0,159.0
2020-03-13,74.0,37.0,13.0,16.0,5.0,8.0,161.0
2020-03-14,60.0,51.0,10.0,18.0,6.0,9.0,153.0
2020-03-15,95.0,59.0,5.0,22.0,7.0,17.0,211.0
2020-03-16,121.0,31.0,11.0,21.0,4.0,16.0,204.0
2020-03-17,59.0,16.0,7.0,9.0,4.0,8.0,153.0
2020-03-18,32.0,17.0,7.0,8.0,4.0,6.0,93.0
2020-03-19,31.0,47.0,8.0,22.0,5.0,12.0,143.0
