Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level
8767,102.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,,83.00,-,-,"1,009.00",,102.00,-,27.00,3.60,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
8688,221.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,,77.00,-,-,"1,015.00",,-,-,18.00,1.50,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
8641,281.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.30,,77.00,8.70,0.90,"1,015.00",,281.00,2.10,18.00,1.50,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
13012,36.00,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,3.00,,60.20,6.00,9.00,923.70,29.00,36.00,1.00,24.30,1.00,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
12488,68.00,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm25,2.00,,88.00,-,-,"1,015.00",52.00,68.00,-,21.00,1.00,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
13251,217.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12.00,,77.00,65.00,1.00,"1,015.00",194.00,217.00,2.00,18.00,1.50,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
12976,195.00,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,8.00,,77.00,17.00,23.00,"1,015.00",119.00,195.00,3.00,18.00,1.50,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
13250,168.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,37.00,,70.30,2.00,1.00,"1,003.20",65.00,168.00,17.00,18.50,1.00,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
5507,48.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,,95.70,11.00,39.00,"1,001.00",25.00,48.00,-,17.00,2.00,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
11778,18.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5.00,,97.50,5.00,-,"1,002.00",12.00,18.00,3.00,15.40,1.00,2021-01-21 05:00:00,+07:00,#NAME?,#NAME?
12958,251.00,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,7.00,,77.00,52.00,2.00,"1,015.00",155.00,251.00,6.00,18.00,1.50,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
12957,315.00,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,7.00,,77.00,48.00,-,"1,015.00",205.00,315.00,12.00,18.00,1.50,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
13015,224.00,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,61.00,,79.50,80.00,-,"1,015.50",185.00,224.00,-,18.00,1.20,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
13018,177.00,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,20.00,,79.50,42.00,-,"1,015.50",112.00,177.00,-,18.00,1.20,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
13019,179.00,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,14.00,,79.50,47.00,-,"1,015.50",122.00,179.00,-,18.00,1.20,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
13026,214.00,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,19.00,,77.00,36.00,1.00,"1,015.00",149.00,214.00,1.00,18.00,1.20,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
1584,,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,,3.00,,88.00,1.00,35.00,"1,014.00",-,-,5.00,21.00,4.60,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
1585,,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,,7.00,,83.00,13.00,13.00,"1,013.00",-,-,3.00,23.00,5.10,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
13017,213.00,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,31.00,,79.50,34.00,-,"1,015.50",175.00,213.00,-,18.00,1.20,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
13020,166.00,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,13.00,,79.50,33.00,-,"1,015.50",105.00,166.00,-,18.00,1.20,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
13013,221.00,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,38.00,,79.50,31.00,-,"1,015.50",177.00,221.00,-,18.00,1.20,2021-01-21 19:00:00,+07:00,#NAME?,#NAME?
13014,191.00,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,17.00,,82.00,-,-,"1,016.00",130.00,191.00,-,18.00,1.00,2021-01-21 20:00:00,+07:00,#NAME?,#NAME?
13252,213.00,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm25,-,,77.80,-,1.00,986.30,204.00,213.00,2.00,17.20,2.00,2021-01-21 21:00:00,+07:00,#NAME?,#NAME?
8767,122.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,,56.50,-,-,"1,008.50",,122.00,-,30.50,2.50,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
8688,192.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,,53.00,-,-,"1,015.00",,-,-,22.00,2.00,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
8641,189.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,,51.00,8.70,4.90,"1,014.50",,189.00,3.10,22.50,2.30,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
13012,18.00,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm10,4.00,,64.30,13.00,20.00,926.20,18.00,17.00,1.00,23.00,2.00,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
12488,-,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,,2.00,,93.00,-,-,"1,015.50",52.00,68.00,-,20.00,3.30,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
13251,189.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12.00,,58.00,42.00,1.00,"1,016.00",156.00,189.00,2.00,22.00,2.00,2021-01-22 12:00:00,+07:00,#NAME?,#NAME?
12976,164.00,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,5.00,,53.00,14.00,23.00,"1,015.00",88.00,164.00,17.00,22.00,2.00,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
13250,131.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,38.00,,93.20,3.00,1.00,"1,007.10",24.00,131.00,22.00,16.70,1.00,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
5507,49.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,,86.20,14.00,38.00,"1,001.30",26.00,49.00,-,21.30,1.00,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
11778,38.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,6.00,,86.20,14.00,-,"1,001.30",24.00,38.00,24.00,21.30,1.00,2021-01-22 12:00:00,+07:00,#NAME?,#NAME?
12958,235.00,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,5.00,,53.00,25.00,30.00,"1,015.00",138.00,235.00,19.00,22.00,2.00,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
12957,252.00,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,2.00,,53.00,15.00,-,"1,015.00",157.00,252.00,15.00,22.00,2.00,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
13015,191.00,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,48.00,,58.00,47.00,-,"1,016.00",157.00,191.00,-,22.00,2.00,2021-01-22 12:00:00,+07:00,#NAME?,#NAME?
13018,161.00,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,9.00,,53.00,31.00,-,"1,015.00",90.00,161.00,-,22.00,2.00,2021-01-22 12:00:00,+07:00,#NAME?,#NAME?
13019,164.00,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,7.00,,58.00,30.00,-,"1,016.00",114.00,164.00,-,22.00,2.00,2021-01-22 12:00:00,+07:00,#NAME?,#NAME?
13026,183.00,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,9.00,,58.00,20.00,2.00,"1,016.00",126.00,183.00,1.00,22.00,2.00,2021-01-22 12:00:00,+07:00,#NAME?,#NAME?
1584,,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,,2.00,,78.00,1.00,33.00,"1,012.50",-,-,6.00,22.50,7.90,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
1585,,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,,2.00,,65.00,4.00,24.00,"1,011.00",-,-,3.00,27.00,6.60,2021-01-22 13:00:00,+07:00,#NAME?,#NAME?
13017,186.00,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,14.00,,58.00,25.00,-,"1,016.00",151.00,186.00,-,22.00,2.00,2021-01-22 12:00:00,+07:00,#NAME?,#NAME?
13020,158.00,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,7.00,,53.00,20.00,-,"1,015.00",94.00,158.00,-,22.00,2.00,2021-01-22 12:00:00,+07:00,#NAME?,#NAME?
13013,188.00,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,17.00,,53.00,37.00,-,"1,015.00",152.00,188.00,-,22.00,2.00,2021-01-22 12:00:00,+07:00,#NAME?,#NAME?
