Date,Station name,AQI index,CO,Dew,Humidity,NO2,O3,PM10,PM2.5,Pressure,SO2,Temperature,Wind,Dominent pollutant
2020-01-01,Hạ Long,165.0,5.0,22.35,88.65,26.0,6.0,52.0,83.0,998.5,20.0,23.3,2.0,PM2.5
2020-01-01,Hà Nội,241.0,0.3,21.0,74.0,17.9,4.0,83.0,164.0,1011.5,4.0,24.5,2.8,PM2.5
2020-01-01,Hồ Chí Minh,161.0,4.0,24.0,78.0,10.0,7.0,22.0,74.0,1009.0,5.0,27.5,2.3,PM2.5
2020-01-01,Thừa Thiên Huế,63.0,5.0,23.5,83.0,4.0,11.0,13.0,18.0,1011.0,5.0,26.0,1.8,PM2.5
2021-01-01,Hạ Long,97.0,5.0,5.9,75.5,9.0,30.0,23.0,34.0,1011.2,20.0,13.2,2.0,PM2.5
2021-01-01,Hà Nội,111.0,8.0,-1.5,33.5,15.0,3.0,46.0,127.0,1026.0,4.6,12.0,1.8,PM2.5
2021-01-01,Hải Phòng,91.0,3.0,5.9,75.5,7.0,16.0,30.0,31.0,1011.2,3.0,13.2,2.0,PM2.5
2021-01-01,Hồ Chí Minh,153.0,4.0,16.0,57.0,10.0,7.0,22.0,59.0,1011.0,5.0,24.5,3.3,PM2.5
2021-01-01,Thừa Thiên Huế,23.0,2.0,15.5,93.0,13.0,5.0,2.0,2.0,1022.0,5.0,17.0,2.3,CO
2020-01-02,Hạ Long,160.0,5.0,15.2,95.6,29.0,7.0,41.0,73.0,1004.5,20.0,16.1,1.0,PM2.5
2020-01-02,Hà Nội,215.0,0.2,12.5,82.0,13.0,4.9,78.0,165.0,1019.0,3.6,16.0,1.2,PM2.5
2020-01-02,Hồ Chí Minh,172.0,4.0,18.0,57.0,10.0,7.0,22.0,97.0,1012.5,5.0,26.0,2.0,PM2.5
2020-01-02,Thừa Thiên Huế,80.0,7.0,18.0,73.0,14.0,5.0,19.0,26.0,1018.0,5.0,22.5,3.3,PM2.5
2020-01-03,Hạ Long,91.0,8.0,20.8,94.1,18.0,6.0,28.0,31.0,999.4,8.0,21.8,2.0,PM2.5
2020-01-03,Hà Nội,152.0,2.0,20.5,78.0,10.1,4.5,32.0,58.0,1012.0,3.0,24.0,3.3,PM2.5
2020-01-03,Hải Phòng,61.0,3.0,20.8,94.1,5.0,18.0,16.0,17.0,999.4,17.0,21.8,2.0,PM2.5
2020-01-03,Hồ Chí Minh,156.0,4.0,20.0,63.5,10.0,7.0,22.0,65.0,1010.0,5.0,28.0,3.0,PM2.5
2020-01-03,Thừa Thiên Huế,74.0,6.0,23.0,88.0,13.0,5.0,17.0,23.0,1013.0,5.0,25.0,1.5,PM2.5
2020-01-04,Hạ Long,152.0,5.0,18.9,97.5,10.0,4.0,37.0,58.0,999.0,20.0,19.6,1.0,PM2.5
2020-01-04,Hà Nội,167.0,4.0,15.5,79.5,4.2,4.1,34.0,87.0,1013.0,5.0,19.0,2.8,PM2.5
2020-01-04,Hải Phòng,164.0,4.0,18.9,97.5,11.0,16.0,42.0,81.0,999.0,27.0,19.6,1.0,PM2.5
2020-01-04,Hồ Chí Minh,144.0,4.0,23.0,70.0,10.0,7.0,22.0,53.0,1009.0,5.0,29.0,3.8,PM2.5
2020-01-04,Thừa Thiên Huế,82.0,6.0,24.5,83.0,13.0,6.0,17.0,27.0,1011.0,5.0,27.0,3.0,PM2.5
2020-01-05,Hạ Long,87.0,5.0,23.3,95.3,8.0,10.0,17.0,29.0,997.8,20.0,23.6,2.0,PM2.5
2020-01-05,Hà Nội,151.0,0.2,22.0,88.0,3.7,5.0,38.0,56.0,1011.0,6.0,24.0,2.5,PM2.5
2020-01-05,Hồ Chí Minh,144.0,4.0,22.5,67.0,10.0,7.0,22.0,53.0,1008.0,5.0,29.0,4.3,PM2.5
2020-01-05,Thừa Thiên Huế,87.0,6.0,24.0,83.0,13.0,4.0,21.0,29.0,1011.0,5.0,27.0,2.0,PM2.5
2020-01-06,Hạ Long,59.0,5.0,26.9,84.0,11.0,16.0,11.0,16.0,993.5,20.0,29.0,3.0,PM2.5
2020-01-06,Hà Nội,95.0,0.3,24.0,76.0,7.0,8.0,28.0,33.0,1006.0,6.0,28.5,2.5,PM2.5
2020-01-06,Hồ Chí Minh,167.0,4.0,25.0,80.5,10.0,7.0,22.0,87.0,1010.5,5.0,28.5,1.5,PM2.5
2020-01-06,Thừa Thiên Huế,86.0,8.0,25.0,78.0,13.0,4.0,10.0,10.0,1010.0,5.0,27.0,1.5,CO
2020-01-07,Hạ Long,57.0,5.0,27.4,89.0,11.0,18.0,10.0,15.0,988.2,20.0,29.3,2.0,PM2.5
2020-01-07,Hà Nội,60.0,0.3,24.0,76.0,11.0,7.8,29.0,46.0,1001.0,2.0,29.0,2.8,PM2.5
2020-01-07,Hải Phòng,68.0,1.0,27.4,89.0,5.0,16.0,13.0,20.0,988.2,19.0,29.3,2.0,PM2.5
2020-01-07,Hồ Chí Minh,160.0,4.0,25.0,85.5,10.0,7.0,22.0,72.0,1006.5,5.0,27.5,2.0,PM2.5
2020-01-07,Thừa Thiên Huế,66.0,6.0,24.0,70.0,13.0,5.0,28.0,7.0,1003.5,5.0,29.0,1.8,CO
2020-01-08,Hạ Long,61.0,5.0,24.4,85.7,15.0,10.0,11.0,17.0,985.0,20.0,27.1,4.0,PM2.5
2020-01-08,Hà Nội,34.0,0.2,24.0,72.5,6.4,6.5,21.0,61.0,999.5,3.0,29.0,3.6,PM2.5
2020-01-08,Hải Phòng,38.0,3.0,24.4,85.7,4.0,16.0,8.0,9.0,985.0,20.0,27.1,4.0,PM2.5
2020-01-08,Hồ Chí Minh,107.0,4.0,25.0,88.0,10.0,7.0,22.0,38.0,1004.0,5.0,26.5,5.4,PM2.5
2020-01-08,Thừa Thiên Huế,86.0,8.0,26.0,94.0,13.0,5.0,8.0,12.0,999.0,5.0,26.0,1.5,CO
2020-01-09,Hạ Long,110.0,5.0,26.0,84.3,14.0,23.0,24.0,39.0,994.0,20.0,28.3,3.0,PM2.5
2020-01-09,Hà Nội,57.0,0.3,23.5,66.0,10.6,5.7,27.0,73.0,1007.0,4.0,30.5,2.5,PM2.5
2020-01-09,Hải Phòng,137.0,5.0,26.0,84.3,8.0,16.0,34.0,50.0,994.0,18.0,28.3,3.0,PM2.5
2020-01-09,Hồ Chí Minh,169.0,4.0,25.5,94.0,10.0,7.0,22.0,91.0,1007.0,5.0,27.0,1.0,PM2.5
2020-01-09,Thừa Thiên Huế,63.0,5.0,25.0,83.0,13.0,5.0,17.0,18.0,1007.5,5.0,28.0,1.8,PM2.5
2020-01-10,Hạ Long,70.0,5.0,25.1,93.1,14.0,15.0,13.0,21.0,993.8,20.0,26.2,1.0,PM2.5
2020-01-10,Hà Nội,11.0,0.3,24.0,80.5,8.0,5.7,16.0,27.0,1007.0,6.0,27.5,2.8,PM2.5
2020-01-10,Hải Phòng,95.0,4.0,25.1,93.1,8.0,16.0,20.0,33.0,993.8,17.0,26.2,1.0,PM2.5
2020-01-10,Hồ Chí Minh,154.0,4.0,25.5,83.0,10.0,7.0,22.0,61.0,1005.0,5.0,28.0,1.8,PM2.5
2020-01-11,Hạ Long,115.0,5.0,21.9,93.0,20.0,30.0,23.0,41.0,1002.4,20.0,23.6,2.0,PM2.5
2020-01-11,Hà Nội,187.0,0.2,21.0,78.0,14.2,5.7,46.0,100.0,1016.0,7.0,25.0,1.5,PM2.5
2020-01-11,Hải Phòng,76.0,5.0,21.9,93.0,4.0,16.0,1.0,24.0,1002.4,18.0,23.6,2.0,PM2.5
2020-01-11,Hồ Chí Minh,154.0,4.0,25.0,85.5,10.0,7.0,22.0,61.0,1009.0,5.0,27.5,2.0,PM2.5
2020-01-11,Thừa Thiên Huế,97.0,4.0,23.0,85.5,13.0,5.0,29.0,34.0,1014.0,5.0,26.0,3.0,PM2.5
2020-01-12,Hạ Long,124.0,5.0,14.6,80.0,16.0,22.0,35.0,45.0,1007.8,20.0,18.0,2.0,PM2.5
2020-01-12,Hà Nội,179.0,6.0,8.5,50.0,17.0,6.5,38.0,114.0,1022.0,4.1,19.0,2.8,PM2.5
2020-01-12,Hải Phòng,112.0,5.0,14.6,80.0,3.0,16.0,23.0,40.0,1007.8,18.0,18.0,2.0,PM2.5
2020-01-12,Hồ Chí Minh,162.0,4.0,24.0,80.5,10.0,7.0,22.0,76.0,1010.0,5.0,27.5,1.5,PM2.5
2020-01-12,Thừa Thiên Huế,45.0,4.0,22.0,97.0,13.0,5.0,5.0,10.0,1018.0,5.0,22.0,5.1,CO
2020-02-01,Hạ Long,134.0,5.0,19.3,95.7,21.0,8.0,31.0,49.0,1007.8,20.0,20.0,2.0,PM2.5
2020-02-01,Hà Nội,182.0,0.3,21.0,74.0,16.0,3.0,68.0,144.0,1011.5,3.0,24.5,2.8,PM2.5
